Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
13/02/2024 2:28:03 PM (UTC+1030), 6052727.76, 330119.13, 3.22, 0.13
13/02/2024 2:28:04 PM (UTC+1030), 6052727.54, 330118.83, 3.22, 0.13
13/02/2024 2:28:05 PM (UTC+1030), 6052727.18, 330118.76, 3.28, 0.13
13/02/2024 2:28:06 PM (UTC+1030), 6052726.83, 330118.4, 3.25, 0.13
13/02/2024 2:28:07 PM (UTC+1030), 6052726.17, 330118.15, 3.29, 0.13
13/02/2024 2:28:08 PM (UTC+1030), 6052725.86, 330117.69, 3.28, 0.13
13/02/2024 2:28:09 PM (UTC+1030), 6052725.3, 330117.4, 3.26, 0.13
13/02/2024 2:28:10 PM (UTC+1030), 6052724.96, 330116.86, 3.24, 0.13
13/02/2024 2:28:11 PM (UTC+1030), 6052724.09, 330116.5, 3.15, 0.13
13/02/2024 2:28:12 PM (UTC+1030), 6052723.23, 330116.58, 3.2, 0.13
13/02/2024 2:28:13 PM (UTC+1030), 6052722.82, 330116.27, 3.14, 0.13
13/02/2024 2:28:14 PM (UTC+1030), 6052722.34, 330116.37, 3.15, 0.13
13/02/2024 2:28:50 PM (UTC+1030), 6052722.01, 330116.2, 3.12, 0.13
13/02/2024 2:28:51 PM (UTC+1030), 6052721.58, 330116.35, 3.1, 0.13
13/02/2024 2:28:52 PM (UTC+1030), 6052720.9, 330116.32, 3.05, 0.13
13/02/2024 2:28:53 PM (UTC+1030), 6052720.03, 330116.26, 3.07, 0.13
13/02/2024 2:28:54 PM (UTC+1030), 6052719.17, 330116.07, 3.17, 0.13
13/02/2024 2:28:55 PM (UTC+1030), 6052718.28, 330115.8, 3.14, 0.13
13/02/2024 2:28:56 PM (UTC+1030), 6052717.2, 330115.54, 3.11, 0.13
13/02/2024 2:28:57 PM (UTC+1030), 6052716.18, 330115.25, 3.15, 0.13
13/02/2024 2:28:58 PM (UTC+1030), 6052715.15, 330114.86, 3.14, 0.13
13/02/2024 2:28:59 PM (UTC+1030), 6052714.13, 330114.39, 3.13, 0.13
13/02/2024 2:29:00 PM (UTC+1030), 6052713.14, 330113.95, 3.17, 0.13
13/02/2024 2:29:01 PM (UTC+1030), 6052712.13, 330113.49, 3.11, 0.13
13/02/2024 2:29:02 PM (UTC+1030), 6052711.03, 330113.14, 3.17, 0.13
13/02/2024 2:29:03 PM (UTC+1030), 6052709.87, 330112.76, 3.12, 0.13
13/02/2024 2:29:04 PM (UTC+1030), 6052708.79, 330112.36, 3.13, 0.13
13/02/2024 2:29:05 PM (UTC+1030), 6052707.71, 330112.04, 3.15, 0.13
13/02/2024 2:29:06 PM (UTC+1030), 6052706.58, 330111.79, 3.1, 0.14
13/02/2024 2:29:07 PM (UTC+1030), 6052705.45, 330111.51, 3.15, 0.14
13/02/2024 2:29:08 PM (UTC+1030), 6052704.3, 330111.18, 3.08, 0.13
13/02/2024 2:29:09 PM (UTC+1030), 6052703.19, 330110.83, 3.12, 0.13
13/02/2024 2:29:10 PM (UTC+1030), 6052702.02, 330110.42, 3.05, 0.13
13/02/2024 2:29:11 PM (UTC+1030), 6052700.78, 330110.09, 3.06, 0.13
13/02/2024 2:29:12 PM (UTC+1030), 6052699.54, 330109.75, 3.03, 0.13
13/02/2024 2:29:13 PM (UTC+1030), 6052698.04, 330109.3, 2.54, 0.11
13/02/2024 2:29:14 PM (UTC+1030), 6052696.79, 330108.94, 2.55, 0.11
13/02/2024 2:29:15 PM (UTC+1030), 6052695.62, 330108.68, 2.52, 0.11
13/02/2024 2:29:16 PM (UTC+1030), 6052694.49, 330108.18, 2.56, 0.11
13/02/2024 2:29:17 PM (UTC+1030), 6052693.57, 330107.67, 2.61, 0.11
13/02/2024 2:29:18 PM (UTC+1030), 6052692.54, 330107.27, 2.63, 0.11
13/02/2024 2:29:19 PM (UTC+1030), 6052691.56, 330106.9, 2.68, 0.11
13/02/2024 2:29:20 PM (UTC+1030), 6052690.5, 330106.52, 2.7, 0.11
13/02/2024 2:29:21 PM (UTC+1030), 6052689.48, 330106.17, 2.79, 0.11
13/02/2024 2:29:22 PM (UTC+1030), 6052688.4, 330105.82, 2.71, 0.11
13/02/2024 2:29:23 PM (UTC+1030), 6052687.31, 330105.52, 2.78, 0.11
13/02/2024 2:29:24 PM (UTC+1030), 6052686.29, 330105.05, 2.7, 0.11
13/02/2024 2:29:25 PM (UTC+1030), 6052685.11, 330104.61, 2.67, 0.11
13/02/2024 2:29:26 PM (UTC+1030), 6052683.95, 330104.35, 2.64, 0.11
13/02/2024 2:29:27 PM (UTC+1030), 6052682.83, 330104.04, 2.55, 0.11
13/02/2024 2:29:28 PM (UTC+1030), 6052681.75, 330103.68, 2.53, 0.11
13/02/2024 2:29:29 PM (UTC+1030), 6052680.62, 330103.23, 2.46, 0.11
13/02/2024 2:29:30 PM (UTC+1030), 6052679.56, 330102.85, 2.38, 0.11
13/02/2024 2:29:31 PM (UTC+1030), 6052678.52, 330102.6, 2.15, 0.11
13/02/2024 2:29:32 PM (UTC+1030), 6052677.56, 330102.37, 1.96, 0.11
13/02/2024 2:29:33 PM (UTC+1030), 6052676.62, 330102.18, 1.78, 0.11
13/02/2024 2:29:34 PM (UTC+1030), 6052675.66, 330101.84, 1.67, 0.11
13/02/2024 2:29:35 PM (UTC+1030), 6052674.57, 330101.46, 1.55, 0.11
13/02/2024 2:29:36 PM (UTC+1030), 6052673.48, 330101.13, 1.56, 0.11
13/02/2024 2:29:37 PM (UTC+1030), 6052672.4, 330100.94, 1.49, 0.11
13/02/2024 2:29:38 PM (UTC+1030), 6052671.36, 330100.61, 1.56, 0.11
13/02/2024 2:29:39 PM (UTC+1030), 6052670.38, 330100.23, 1.59, 0.11
13/02/2024 2:29:40 PM (UTC+1030), 6052669.41, 330099.82, 1.56, 0.11
13/02/2024 2:29:41 PM (UTC+1030), 6052668.47, 330099.34, 1.65, 0.11
13/02/2024 2:29:42 PM (UTC+1030), 6052667.41, 330098.97, 1.78, 0.11
13/02/2024 2:29:43 PM (UTC+1030), 6052666.26, 330098.65, 1.83, 0.11
13/02/2024 2:29:44 PM (UTC+1030), 6052665.11, 330098.33, 1.9, 0.11
13/02/2024 2:29:45 PM (UTC+1030), 6052664.01, 330098.04, 2.04, 0.11
13/02/2024 2:29:46 PM (UTC+1030), 6052663.02, 330097.75, 2.11, 0.11
13/02/2024 2:29:47 PM (UTC+1030), 6052662.04, 330097.35, 2.12, 0.11
13/02/2024 2:29:48 PM (UTC+1030), 6052661.08, 330096.98, 2.15, 0.11
13/02/2024 2:29:49 PM (UTC+1030), 6052659.97, 330096.58, 2.11, 0.11
13/02/2024 2:29:50 PM (UTC+1030), 6052658.87, 330096.26, 2.15, 0.11
13/02/2024 2:29:51 PM (UTC+1030), 6052657.75, 330095.87, 2.1, 0.11
13/02/2024 2:29:52 PM (UTC+1030), 6052656.64, 330095.43, 2.14, 0.11
13/02/2024 2:29:53 PM (UTC+1030), 6052655.52, 330095.01, 2.23, 0.11
13/02/2024 2:29:54 PM (UTC+1030), 6052654.43, 330094.68, 2.21, 0.11
13/02/2024 2:29:55 PM (UTC+1030), 6052653.32, 330094.45, 2.26, 0.11
13/02/2024 2:29:56 PM (UTC+1030), 6052652.21, 330094.1, 2.21, 0.11
13/02/2024 2:29:57 PM (UTC+1030), 6052651.2, 330093.61, 2.16, 0.11
13/02/2024 2:29:58 PM (UTC+1030), 6052650.14, 330093.16, 2.08, 0.11
13/02/2024 2:29:59 PM (UTC+1030), 6052649.02, 330092.89, 2.01, 0.11
13/02/2024 2:30:00 PM (UTC+1030), 6052647.85, 330092.59, 1.96, 0.11
13/02/2024 2:30:01 PM (UTC+1030), 6052646.74, 330092.18, 1.8, 0.11
13/02/2024 2:30:02 PM (UTC+1030), 6052645.58, 330091.71, 1.73, 0.11
13/02/2024 2:30:03 PM (UTC+1030), 6052644.45, 330091.21, 1.59, 0.11
13/02/2024 2:30:04 PM (UTC+1030), 6052643.3, 330090.69, 1.55, 0.11
13/02/2024 2:30:05 PM (UTC+1030), 6052642.15, 330090.21, 1.53, 0.11
13/02/2024 2:30:06 PM (UTC+1030), 6052640.93, 330089.97, 1.38, 0.11
13/02/2024 2:30:07 PM (UTC+1030), 6052639.69, 330089.67, 1.41, 0.11
13/02/2024 2:30:08 PM (UTC+1030), 6052638.49, 330089.3, 1.34, 0.11
13/02/2024 2:30:09 PM (UTC+1030), 6052637.28, 330089.04, 1.37, 0.11
13/02/2024 2:30:10 PM (UTC+1030), 6052636.13, 330088.66, 1.39, 0.11
13/02/2024 2:30:11 PM (UTC+1030), 6052635.02, 330088.29, 1.41, 0.11
13/02/2024 2:30:12 PM (UTC+1030), 6052633.81, 330088.04, 1.34, 0.11
13/02/2024 2:30:13 PM (UTC+1030), 6052632.65, 330087.98, 1.36, 0.11
13/02/2024 2:30:14 PM (UTC+1030), 6052631.48, 330088.1, 1.27, 0.11
13/02/2024 2:30:15 PM (UTC+1030), 6052630.39, 330088.24, 1.32, 0.11
13/02/2024 2:30:16 PM (UTC+1030), 6052629.25, 330088.22, 1.29, 0.11
13/02/2024 2:30:17 PM (UTC+1030), 6052628.11, 330087.84, 1.27, 0.11
13/02/2024 2:30:18 PM (UTC+1030), 6052627.07, 330087.33, 1.33, 0.11
13/02/2024 2:30:19 PM (UTC+1030), 6052625.9, 330086.87, 1.22, 0.11
13/02/2024 2:30:20 PM (UTC+1030), 6052624.75, 330086.43, 1.31, 0.11
13/02/2024 2:30:21 PM (UTC+1030), 6052623.63, 330086.08, 1.27, 0.11
13/02/2024 2:30:22 PM (UTC+1030), 6052622.56, 330085.77, 1.32, 0.11
13/02/2024 2:30:23 PM (UTC+1030), 6052621.58, 330085.49, 1.33, 0.11
13/02/2024 2:30:24 PM (UTC+1030), 6052620.54, 330085.08, 1.31, 0.11
13/02/2024 2:30:25 PM (UTC+1030), 6052619.65, 330084.49, 1.33, 0.11
13/02/2024 2:30:26 PM (UTC+1030), 6052618.62, 330084.14, 1.34, 0.11
13/02/2024 2:30:27 PM (UTC+1030), 6052617.49, 330083.98, 1.41, 0.11
13/02/2024 2:30:28 PM (UTC+1030), 6052616.59, 330083.77, 1.52, 0.11
13/02/2024 2:30:29 PM (UTC+1030), 6052615.63, 330083.46, 1.61, 0.11
13/02/2024 2:30:30 PM (UTC+1030), 6052614.62, 330083.24, 1.75, 0.11
13/02/2024 2:30:31 PM (UTC+1030), 6052613.5, 330083.09, 1.76, 0.11
13/02/2024 2:30:32 PM (UTC+1030), 6052612.46, 330082.91, 1.81, 0.11
13/02/2024 2:30:33 PM (UTC+1030), 6052611.37, 330082.78, 1.68, 0.11
13/02/2024 2:30:34 PM (UTC+1030), 6052610.2, 330082.6, 1.55, 0.11
13/02/2024 2:30:35 PM (UTC+1030), 6052608.99, 330082.32, 1.49, 0.11
13/02/2024 2:30:36 PM (UTC+1030), 6052607.89, 330082.02, 1.38, 0.11
13/02/2024 2:30:37 PM (UTC+1030), 6052606.82, 330081.63, 1.41, 0.11
13/02/2024 2:30:38 PM (UTC+1030), 6052605.67, 330081.34, 1.41, 0.11
13/02/2024 2:30:39 PM (UTC+1030), 6052604.47, 330081.1, 1.48, 0.11
13/02/2024 2:30:40 PM (UTC+1030), 6052603.27, 330080.83, 1.66, 0.11
13/02/2024 2:30:41 PM (UTC+1030), 6052602.25, 330080.61, 1.88, 0.11
13/02/2024 2:30:42 PM (UTC+1030), 6052601.4, 330080.45, 2.12, 0.11
13/02/2024 2:30:43 PM (UTC+1030), 6052600.67, 330080.2, 2.37, 0.11
13/02/2024 2:30:44 PM (UTC+1030), 6052599.78, 330080, 2.52, 0.11
13/02/2024 2:30:45 PM (UTC+1030), 6052598.77, 330079.89, 2.54, 0.11
13/02/2024 2:30:46 PM (UTC+1030), 6052597.71, 330079.78, 2.39, 0.11
13/02/2024 2:30:47 PM (UTC+1030), 6052596.52, 330079.65, 2.34, 0.11
13/02/2024 2:30:48 PM (UTC+1030), 6052595.33, 330079.54, 2.21, 0.11
13/02/2024 2:30:49 PM (UTC+1030), 6052594.17, 330079.38, 2.16, 0.11
13/02/2024 2:30:50 PM (UTC+1030), 6052593.06, 330079.25, 2.1, 0.11
13/02/2024 2:30:51 PM (UTC+1030), 6052591.89, 330079.28, 2.11, 0.11
13/02/2024 2:30:52 PM (UTC+1030), 6052590.73, 330079.41, 2.01, 0.11
13/02/2024 2:30:53 PM (UTC+1030), 6052589.6, 330079.55, 2.12, 0.11
13/02/2024 2:30:54 PM (UTC+1030), 6052588.47, 330079.56, 2.03, 0.11
13/02/2024 2:30:55 PM (UTC+1030), 6052587.32, 330079.41, 2.04, 0.11
13/02/2024 2:30:56 PM (UTC+1030), 6052586.08, 330079.29, 1.95, 0.11
13/02/2024 2:30:57 PM (UTC+1030), 6052584.87, 330079.16, 1.96, 0.11
13/02/2024 2:30:58 PM (UTC+1030), 6052583.75, 330078.75, 1.89, 0.11
13/02/2024 2:30:59 PM (UTC+1030), 6052582.9, 330077.9, 1.94, 0.11
13/02/2024 2:31:00 PM (UTC+1030), 6052582.21, 330076.81, 1.9, 0.11
13/02/2024 2:31:01 PM (UTC+1030), 6052581.6, 330075.72, 1.86, 0.11
13/02/2024 2:31:02 PM (UTC+1030), 6052580.92, 330074.79, 1.85, 0.11
13/02/2024 2:31:03 PM (UTC+1030), 6052580.26, 330073.86, 1.83, 0.11
13/02/2024 2:31:04 PM (UTC+1030), 6052579.26, 330073.35, 1.81, 0.11
13/02/2024 2:31:05 PM (UTC+1030), 6052578.1, 330073.21, 1.78, 0.11
13/02/2024 2:31:06 PM (UTC+1030), 6052577, 330072.94, 1.87, 0.11
13/02/2024 2:31:07 PM (UTC+1030), 6052576.01, 330072.33, 1.88, 0.11
13/02/2024 2:31:08 PM (UTC+1030), 6052574.96, 330071.76, 2, 0.11
13/02/2024 2:31:09 PM (UTC+1030), 6052573.79, 330071.39, 1.95, 0.11
13/02/2024 2:31:10 PM (UTC+1030), 6052572.62, 330070.99, 2.02, 0.11
13/02/2024 2:31:11 PM (UTC+1030), 6052571.48, 330070.47, 1.99, 0.11
13/02/2024 2:31:12 PM (UTC+1030), 6052570.37, 330069.82, 1.94, 0.11
13/02/2024 2:31:13 PM (UTC+1030), 6052569.37, 330069.11, 2.03, 0.11
13/02/2024 2:31:14 PM (UTC+1030), 6052568.3, 330068.44, 1.95, 0.11
13/02/2024 2:31:15 PM (UTC+1030), 6052567.21, 330067.9, 1.98, 0.11
13/02/2024 2:31:16 PM (UTC+1030), 6052566.08, 330067.33, 1.94, 0.11
13/02/2024 2:31:17 PM (UTC+1030), 6052565.04, 330066.76, 1.93, 0.11
13/02/2024 2:31:18 PM (UTC+1030), 6052563.93, 330066.17, 1.82, 0.11
13/02/2024 2:31:19 PM (UTC+1030), 6052563, 330065.5, 1.73, 0.11
13/02/2024 2:31:20 PM (UTC+1030), 6052562.03, 330064.74, 1.71, 0.11
13/02/2024 2:31:21 PM (UTC+1030), 6052561.01, 330064.1, 1.67, 0.11
13/02/2024 2:31:22 PM (UTC+1030), 6052559.95, 330063.49, 1.71, 0.11
13/02/2024 2:31:23 PM (UTC+1030), 6052559, 330062.8, 1.69, 0.11
13/02/2024 2:31:24 PM (UTC+1030), 6052558.1, 330062.08, 1.7, 0.11
13/02/2024 2:31:25 PM (UTC+1030), 6052557.19, 330061.26, 1.68, 0.11
13/02/2024 2:31:26 PM (UTC+1030), 6052556.35, 330060.48, 1.82, 0.11
13/02/2024 2:31:27 PM (UTC+1030), 6052555.49, 330059.6, 1.91, 0.11
13/02/2024 2:31:28 PM (UTC+1030), 6052554.9, 330058.7, 2.08, 0.11
13/02/2024 2:31:29 PM (UTC+1030), 6052554.42, 330057.69, 2.24, 0.11
13/02/2024 2:31:30 PM (UTC+1030), 6052553.93, 330056.73, 2.28, 0.11
13/02/2024 2:31:31 PM (UTC+1030), 6052553.42, 330055.78, 2.35, 0.11
13/02/2024 2:31:32 PM (UTC+1030), 6052552.8, 330054.95, 2.35, 0.11
13/02/2024 2:31:33 PM (UTC+1030), 6052552.19, 330054.16, 2.33, 0.11
13/02/2024 2:31:34 PM (UTC+1030), 6052551.47, 330053.5, 2.19, 0.11
13/02/2024 2:31:35 PM (UTC+1030), 6052550.59, 330052.91, 1.94, 0.11
13/02/2024 2:31:36 PM (UTC+1030), 6052549.59, 330052.36, 1.71, 0.11
13/02/2024 2:31:37 PM (UTC+1030), 6052548.58, 330051.87, 1.56, 0.11
13/02/2024 2:31:38 PM (UTC+1030), 6052547.5, 330051.4, 1.39, 0.11
13/02/2024 2:31:39 PM (UTC+1030), 6052546.52, 330050.9, 1.25, 0.11
13/02/2024 2:31:40 PM (UTC+1030), 6052545.76, 330050.2, 1.18, 0.11
13/02/2024 2:31:41 PM (UTC+1030), 6052544.98, 330049.68, 1.13, 0.11
13/02/2024 2:31:42 PM (UTC+1030), 6052544.41, 330049.05, 1.02, 0.11
13/02/2024 2:31:43 PM (UTC+1030), 6052544.05, 330048.2, 0.73, 0.11
13/02/2024 2:31:44 PM (UTC+1030), 6052543.52, 330047.29, 0.73, 0.11
13/02/2024 2:31:45 PM (UTC+1030), 6052542.8, 330046.55, 0.68, 0.11
13/02/2024 2:31:46 PM (UTC+1030), 6052541.98, 330045.95, 0.64, 0.11
13/02/2024 2:31:47 PM (UTC+1030), 6052541.1, 330045.4, 0.6, 0.11
13/02/2024 2:31:48 PM (UTC+1030), 6052540.25, 330044.85, 0.52, 0.11
13/02/2024 2:31:49 PM (UTC+1030), 6052539.35, 330044.17, 0.35, 0.11
13/02/2024 2:31:50 PM (UTC+1030), 6052538.39, 330043.55, 0.2, 0.11
13/02/2024 2:31:51 PM (UTC+1030), 6052537.48, 330042.76, 0.44, 0.11
13/02/2024 2:31:52 PM (UTC+1030), 6052536.62, 330042.21, 0.35, 0.11
13/02/2024 2:31:53 PM (UTC+1030), 6052535.76, 330041.61, 0.39, 0.11
13/02/2024 2:31:54 PM (UTC+1030), 6052534.94, 330040.92, 0.33, 0.11
13/02/2024 2:31:55 PM (UTC+1030), 6052534.1, 330040.26, 0.29, 0.11
