Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 4:54:28 pm (UTC+1000), 6200528.66, 626828.13, 38.51, 0.38
16/9/2024 4:54:53 pm (UTC+1000), 6200527.87, 626827.81, 40.49, 0.80
16/9/2024 4:54:57 pm (UTC+1000), 6200528.2, 626828.94, 38.99, 1.64
16/9/2024 4:54:59 pm (UTC+1000), 6200528.57, 626828.26, 37.93, 0.03
16/9/2024 5:01:13 pm (UTC+1000), 6200528.14, 626828.43, 38.97, 0.03
16/9/2024 5:01:15 pm (UTC+1000), 6200527.79, 626828.2, 38.9, 0.03
16/9/2024 5:01:16 pm (UTC+1000), 6200527.81, 626827.74, 39.04, 0.04
16/9/2024 5:01:18 pm (UTC+1000), 6200528.1, 626827.87, 39.09, 0.03
16/9/2024 5:01:21 pm (UTC+1000), 6200528.33, 626827.73, 39.13, 0.03
16/9/2024 5:01:24 pm (UTC+1000), 6200528.38, 626828.13, 39.14, 0.02
16/9/2024 5:01:25 pm (UTC+1000), 6200528.69, 626828.08, 39.15, 0.02
16/9/2024 5:01:34 pm (UTC+1000), 6200528.42, 626828.01, 39.11, 0.02
16/9/2024 5:01:35 pm (UTC+1000), 6200528.14, 626828.47, 39.12, 0.02
16/9/2024 5:01:36 pm (UTC+1000), 6200527.58, 626828.85, 39.12, 0.02
16/9/2024 5:01:37 pm (UTC+1000), 6200527.46, 626829.76, 39.08, 0.02
16/9/2024 5:01:38 pm (UTC+1000), 6200527.37, 626830.06, 39.07, 0.02
16/9/2024 5:01:42 pm (UTC+1000), 6200527.7, 626830.14, 39.03, 0.02
16/9/2024 5:01:51 pm (UTC+1000), 6200527.43, 626830.24, 39.07, 0.02
16/9/2024 5:01:52 pm (UTC+1000), 6200527.25, 626829.91, 39.11, 0.02
16/9/2024 5:01:53 pm (UTC+1000), 6200527.52, 626829.5, 39.12, 0.02
16/9/2024 5:01:54 pm (UTC+1000), 6200527.75, 626828.71, 39.14, 0.02
16/9/2024 5:01:55 pm (UTC+1000), 6200528.3, 626828.13, 39.12, 0.02
16/9/2024 5:01:56 pm (UTC+1000), 6200528.89, 626828.03, 39.08, 0.03
16/9/2024 5:01:57 pm (UTC+1000), 6200529.29, 626827.92, 39.09, 0.03
16/9/2024 5:02:00 pm (UTC+1000), 6200529.07, 626827.82, 39.07, 0.03
16/9/2024 5:02:59 pm (UTC+1000), 6200528.74, 626828.06, 39.11, 0.02
16/9/2024 5:03:00 pm (UTC+1000), 6200528.31, 626828.38, 39.12, 0.02
16/9/2024 5:03:01 pm (UTC+1000), 6200527.7, 626828.92, 39.12, 0.02
16/9/2024 5:03:02 pm (UTC+1000), 6200527.17, 626829.62, 39.11, 0.02
16/9/2024 5:03:03 pm (UTC+1000), 6200527.08, 626830.41, 39.1, 0.02
16/9/2024 5:03:04 pm (UTC+1000), 6200527.26, 626831.19, 39.13, 0.02
16/9/2024 5:03:05 pm (UTC+1000), 6200527.46, 626831.86, 39.08, 0.02
16/9/2024 5:03:06 pm (UTC+1000), 6200527.75, 626832.44, 39.05, 0.02
16/9/2024 5:03:07 pm (UTC+1000), 6200528.06, 626833.25, 39.08, 0.03
16/9/2024 5:03:08 pm (UTC+1000), 6200528.52, 626834.12, 39.03, 0.02
16/9/2024 5:03:09 pm (UTC+1000), 6200528.79, 626834.88, 39.06, 0.03
16/9/2024 5:03:10 pm (UTC+1000), 6200529.31, 626835.61, 39.05, 0.03
16/9/2024 5:03:11 pm (UTC+1000), 6200529.65, 626836.22, 39.08, 0.03
16/9/2024 5:03:12 pm (UTC+1000), 6200530.17, 626836.64, 39.06, 0.03
16/9/2024 5:03:13 pm (UTC+1000), 6200530.62, 626837.04, 39.07, 0.03
16/9/2024 5:03:14 pm (UTC+1000), 6200530.9, 626837.59, 39.1, 0.02
16/9/2024 5:03:15 pm (UTC+1000), 6200531.42, 626837.93, 39.08, 0.03
