EMIT DAT file ExportSoftware:dsQC-1.2.111.59327_6d8f6eac Exported:20241127T020422Z
DATATYPE:TEM CONFIG:Loupe LINE:MULTI COMPANY:Flinders PROSPECT:Elliston TENEMENT:Elliston GRID:UTM DATUM:WGS84 ZONE:53Sth LINEFLIP:0 SAMPLERATE:504000 STACKS:300 RX_SERIAL:10003 RX_SW_VER:1.0.70.59325 FREQ:75.0000 CURRENT:20 TURNOFF:0.0089999999999999993 TX_MOMENT:94.423708796294846 VLF_FILTER:NWC WINSCHEME:Loupe SENSORNAME:Loupe_TEM-3_Coil SENSORCLASS:Coil SENSORDELAY:4.5800000000000001 SENSOR_OFFSET_ALONG:-10.550000000000001 SENSOR_OFFSET_ACROSS:0 SENSOR_OFFSET_HEIGHT:-0.23999999999999999 SENSOR_CALIBRATION:Loupe12B-20240507T000000.000000000Z UNITS:nV/Am4 GAIN:10 POWERFREQ:50Hz 
/WINSCHEME:Loupe
/TIMESSTART(ms)=0.00198,0.00397,0.00595,0.00794,0.00992,0.01190,0.01786,0.02381,0.03175,0.04365,0.05754,0.07738,0.10317,0.13690,0.18254,0.24405,0.32341,0.43056,0.57341,0.76389,1.01587,1.35119,1.79960,2.39286,3.18254,4.23214,5.63095,7.48810,9.96032,13.24603,17.61905,23.43254,31.16667,41.45238,55.13095,73.32540,97.52183,129.70437,172.50794,229.43452,305.14881
/TIMESEND(ms)=0.00595,0.00794,0.00992,0.01190,0.01389,0.01984,0.02579,0.03571,0.04762,0.06349,0.08135,0.10913,0.14683,0.19246,0.25794,0.34325,0.45833,0.61310,0.81349,1.08333,1.44048,1.91667,2.54762,3.38889,4.50794,5.99603,7.97619,10.60913,14.11111,18.76587,24.96032,33.19643,44.15278,58.72421,78.10317,103.87698,138.15675,183.74802,244.38690,325.03373,432.29563
/VLF_FILTER=NWC,19800.00,200.00,[ 21.816325S 114.165460E 8000.0km]
FID  ACQ ACQ_RDG ACQ_TIME                   TIME                       TS                   EAST     NORTH     HEIGHT GPS_TIME                   GPS_EAST GPS_NORTH GPS_HEIGHT TX_EAST  TX_NORTH  TX_HEIGHT RX_EAST  RX_NORTH  RX_HEIGHT ADC C DC_OFFSET               PRIMARY              NOISE                  POWERAMPL              POWERPHASE              NCH CH01                 CH02                 CH03                 CH04                  CH05                  CH06                   CH07                   CH08                   CH09                   CH10                   CH11                    CH12                    CH13                    CH14                    CH15                    CH16                    CH17                    CH18                    CH19                    CH20                    CH21                    CH22                    CH23                    
LINE:2
1    2   0       20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.000000000 489900.6 6277177.1 2.2    20241126T233112.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.1 X -0.0009131789494728576  1167.5675804236812   1.074348236856736e-05  0.00018429789051491242 0.18486842741633988     23  2061.8745282055675   3096.3468611788621   2617.4275143367527   1696.6486582872349    1025.4201160315797    452.9405042851231      152.4373363165823      59.502390800333693     25.056378254325082     10.705888403006941     5.4390693947716588      2.6017129608525558      1.5139590257724489      1.1057462541007441      0.5294303624558252      0.20417277729707872     0.019353739990520688    0.039702105830017043    0.10397772043457235     0.13732377183403102     -0.06080786082540459    0.060759103157521109    0.025312536623837582    
1    2   0       20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.000000000 489900.6 6277177.1 2.2    20241126T233112.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.2 Y 7.2148233313315581e-05  -1114.4123715696567  9.6195894357656425e-06 7.4969475602800503e-05 -0.8119825227611942     23  -173.27453393611486  -392.10814895144449  -383.33969347599168  -241.07776422217182   -127.02179300046232   -48.026527248322047    -11.488775451468241    -4.3423622337034864    -3.5692409714319813    -0.64985900111297856   -0.48309455429418613    -0.24373855244940884    0.23257844157282048     0.19777170820214171     -0.10129189008558522    0.044354340267797533    -0.071461226790988486   -0.18978891848667009    0.033701362808489024    0.11730928194734719     0.07112205800241142     -0.014251995055015735   -0.063453483225972843   
1    2   0       20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.000000000 489900.6 6277177.1 2.2    20241126T233112.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.3 Z -0.0013172060002371133  -15405.716876597729  7.3752086671139381e-06 0.00019660105204386116 3.0080457479593132      23  -1094.6147745770904  -132.22446928996362  600.13292019465746   786.70119835288892    687.13727217173812    422.55660806361254     197.26609820663435     92.907443636602807     44.942018685946159     21.631206822098004     11.654089019077265      6.0185367514924257      3.3739392924468734      2.1814397202971278      1.2911171985094176      0.75435989696301065     0.42080429841003841     0.21979471487776225     0.17211304899005839     0.18743503587918028     -0.0012946060199300312  0.053768785441836921    0.018716795779052605    
2    2   1       20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.000000000 489900.6 6277177.2 2.2    20241126T233113.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.1 X -0.00092840051528828569 963.02025270208537   1.0370896795750747e-05 0.00018611272006882211 0.33254071291340281     23  2076.3151944006472   3104.3816831877903   2618.1448557079457   1694.3144819600004    1022.4189568789945    450.28581127924946     150.54000105113789     58.584961950850314     24.663208009969381     10.635033149356106     5.4842008503029662      2.6258308482334214      1.4645626509575593      0.78253678249765879     0.41432124339087756     0.21332343639992113     0.15334293279124142     0.068689016871443062    0.094361464159407368    0.22128990791834233     -0.08095617651824058    0.13891040473361041     0.038593807757486873    
2    2   1       20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.000000000 489900.6 6277177.2 2.2    20241126T233113.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.2 Y 0.00015800047169922427  -1121.0560381938194  7.6707603091066069e-06 7.6339279458531378e-05 -0.6463281481229074     23  -200.93670562721093  -423.53585146784798  -404.61302532701683  -251.83019856713543   -132.22101458025273   -50.651889414469537    -12.989667344114302    -4.8172542182736331    -3.1910093391312873    -0.53660531017633462   -0.1988748343389968     -0.16634130927834759    -0.015998131695228325   0.021934048365741022    -0.11209367692480403    0.074327406204786825    0.1177443537041631      -0.19168044622716124    0.056823847518243473    0.18363370631848003     0.0022833987285859696   0.031287547952395835    -0.031676137557280805   
2    2   1       20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.000000000 489900.6 6277177.2 2.2    20241126T233113.000000000Z 489901.3 6277182.6 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.3 Z -0.0013140755730360503  -15402.367197916768  6.8526061016871015e-06 0.00019832247515712246 -3.1382047581143291     23  -1071.9382565080959  -100.04648334766104  625.93473410183822   802.76575155815453    696.66711506896797    426.75244289000972     198.42262886767861     93.174649376799991     45.059321908810013     21.656273618846292     11.536117887090466      6.0170649966798582      3.2962442971835588      1.989805583944432       1.1318877443499205      0.72629631913199999     0.42718579358058828     0.20683575877470395     0.11796369638017717     0.27756590287065036     -0.00029471532680963851 0.11122970369272717     0.045879529002683037    
3    2   2       20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.000000000 489900.6 6277177.2 2.2    20241126T233114.000000000Z 489901.3 6277182.7 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.1 X -0.00081239489404448138 804.46809115205781   1.2601339820777441e-05 0.00018855571111348534 0.4720076030737636      23  2071.2352705713961   3089.1158381900004   2602.0644804498975   1682.7293821402636    1015.3235525274133    448.39993442583528     149.89832933432646     58.315181266819152     24.722374318824411     10.470195211668635     5.6763767766681203      2.9354788492158641      1.6500584201016169      0.92776857264878765     0.39540936993752601     0.036901997316125847    -0.28913174205595937    0.13532878816110375     0.37185782845147508     0.12134122273076869     -0.029926225361882122   0.10002485339127583     -0.0020818513132945019  
3    2   2       20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.000000000 489900.6 6277177.2 2.2    20241126T233114.000000000Z 489901.3 6277182.7 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.2 Y 0.00020709043402695204  -1106.5560194087204  1.0124178842544244e-05 8.2086222954625654e-05 -0.48933782836363576    23  -214.49380794193158  -456.57403173077665  -436.92632288423721  -274.92035870925736   -147.59761092869564   -57.709844776760022    -15.241162083318681    -5.6616109543144315    -3.5826388498087631    -0.44727171893244999   -0.042821137507309912   0.30299347314544217     0.37325511566192815     0.2807579201584719      -0.12002270043131635    -0.044154416477393252   -0.20301662909981119    0.12625715761892251     0.15821658698724603     0.030150097645089014    -0.073526499235820747   -0.016397260190842252   0.010568760987375816    
3    2   2       20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.000000000 489900.6 6277177.2 2.2    20241126T233114.000000000Z 489901.3 6277182.7 2.6        489901.3 6277182.1 1.8       489899.8 6277172.2 2.5       1.3 Z -0.0013492136751984585  -15296.940490680508  7.8348642315620619e-06 0.00019768493462609226 -2.9928213638367973     23  -1054.7500495318384  -85.259305930508972  631.80641923775727   803.18021799483381    695.09828094904583    425.3157238895684      197.71119531548914     92.873887919523639     45.145172140855706     21.630234394006063     11.663886485978011      6.1368619349579072      3.5259280271915765      2.1434204500751628      1.1050164629290951      0.60737039700144357     0.1280216272462921      0.19412466738390763     0.36210725580720232     0.17652154299452644     0.039773012845234254    0.078936369881590723    0.032133647664757285    
