EMIT DAT file ExportSoftware:dsQC-1.2.111.59327_6d8f6eac Exported:20241127T020422Z
DATATYPE:TEM CONFIG:Loupe LINE:MULTI COMPANY:Flinders PROSPECT:Elliston TENEMENT:Elliston GRID:UTM DATUM:WGS84 ZONE:53Sth LINEFLIP:0 SAMPLERATE:504000 STACKS:300 RX_SERIAL:10003 RX_SW_VER:1.0.70.59325 FREQ:75.0000 CURRENT:20 TURNOFF:0.0089999999999999993 TX_MOMENT:94.423708796294846 VLF_FILTER:NWC WINSCHEME:Loupe SENSORNAME:Loupe_TEM-3_Coil SENSORCLASS:Coil SENSORDELAY:4.5800000000000001 SENSOR_OFFSET_ALONG:-10.550000000000001 SENSOR_OFFSET_ACROSS:0 SENSOR_OFFSET_HEIGHT:-0.23999999999999999 SENSOR_CALIBRATION:Loupe12B-20240507T000000.000000000Z UNITS:nV/Am4 GAIN:10 POWERFREQ:50Hz 
/WINSCHEME:Loupe
/TIMESSTART(ms)=0.00198,0.00397,0.00595,0.00794,0.00992,0.01190,0.01786,0.02381,0.03175,0.04365,0.05754,0.07738,0.10317,0.13690,0.18254,0.24405,0.32341,0.43056,0.57341,0.76389,1.01587,1.35119,1.79960,2.39286,3.18254,4.23214,5.63095,7.48810,9.96032,13.24603,17.61905,23.43254,31.16667,41.45238,55.13095,73.32540,97.52183,129.70437,172.50794,229.43452,305.14881
/TIMESEND(ms)=0.00595,0.00794,0.00992,0.01190,0.01389,0.01984,0.02579,0.03571,0.04762,0.06349,0.08135,0.10913,0.14683,0.19246,0.25794,0.34325,0.45833,0.61310,0.81349,1.08333,1.44048,1.91667,2.54762,3.38889,4.50794,5.99603,7.97619,10.60913,14.11111,18.76587,24.96032,33.19643,44.15278,58.72421,78.10317,103.87698,138.15675,183.74802,244.38690,325.03373,432.29563
/VLF_FILTER=NWC,19800.00,200.00,[ 21.816325S 114.165460E 8000.0km]
 FID  ACQ  ACQ_RDG                   ACQ_TIME                       TIME           TS     EAST     NORTH  HEIGHT                   GPS_TIME  GPS_EAST  GPS_NORTH  GPS_HEIGHT  TX_EAST  TX_NORTH  TX_HEIGHT  RX_EAST  RX_NORTH  RX_HEIGHT  ADC C     DC_OFFSET       PRIMARY    NOISE    POWERAMPL  POWERPHASE  NCH          CH01          CH02          CH03          CH04          CH05          CH06          CH07        CH08        CH09       CH10       CH11       CH12       CH13       CH14       CH15       CH16      CH17      CH18      CH19      CH20      CH21      CH22      CH23
   1  2.0      0.0 20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.0 489900.6 6277177.1     2.2 20241126T233112.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.1 X -9.131789e-04   1167.567580 0.000011 1.842979e-04    0.184868 23.0   2061.874528   3096.346861   2617.427514   1696.648658   1025.420116    452.940504    152.437336   59.502391   25.056378  10.705888   5.439069   2.601713   1.513959   1.105746   0.529430   0.204173  0.019354  0.039702  0.103978  0.137324 -0.060808  0.060759  0.025313
   1  2.0      0.0 20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.0 489900.6 6277177.1     2.2 20241126T233112.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.2 Y  7.214823e-05  -1114.412372 0.000010 7.496948e-05   -0.811983 23.0   -173.274534   -392.108149   -383.339693   -241.077764   -127.021793    -48.026527    -11.488775   -4.342362   -3.569241  -0.649859  -0.483095  -0.243739   0.232578   0.197772  -0.101292   0.044354 -0.071461 -0.189789  0.033701  0.117309  0.071122 -0.014252 -0.063453
   1  2.0      0.0 20241126T233110.332045635Z 20241126T233111.000000000Z 1732663871.0 489900.6 6277177.1     2.2 20241126T233112.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.3 Z -1.317206e-03 -15405.716877 0.000007 1.966011e-04    3.008046 23.0  -1094.614775   -132.224469    600.132920    786.701198    687.137272    422.556608    197.266098   92.907444   44.942019  21.631207  11.654089   6.018537   3.373939   2.181440   1.291117   0.754360  0.420804  0.219795  0.172113  0.187435 -0.001295  0.053769  0.018717
   2  2.0      1.0 20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.0 489900.6 6277177.2     2.2 20241126T233113.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.1 X -9.284005e-04    963.020253 0.000010 1.861127e-04    0.332541 23.0   2076.315194   3104.381683   2618.144856   1694.314482   1022.418957    450.285811    150.540001   58.584962   24.663208  10.635033   5.484201   2.625831   1.464563   0.782537   0.414321   0.213323  0.153343  0.068689  0.094361  0.221290 -0.080956  0.138910  0.038594
   2  2.0      1.0 20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.0 489900.6 6277177.2     2.2 20241126T233113.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.2 Y  1.580005e-04  -1121.056038 0.000008 7.633928e-05   -0.646328 23.0   -200.936706   -423.535851   -404.613025   -251.830199   -132.221015    -50.651889    -12.989667   -4.817254   -3.191009  -0.536605  -0.198875  -0.166341  -0.015998   0.021934  -0.112094   0.074327  0.117744 -0.191680  0.056824  0.183634  0.002283  0.031288 -0.031676
   2  2.0      1.0 20241126T233110.332045635Z 20241126T233112.000000000Z 1732663872.0 489900.6 6277177.2     2.2 20241126T233113.000000000Z  489901.3  6277182.6         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.3 Z -1.314076e-03 -15402.367198 0.000007 1.983225e-04   -3.138205 23.0  -1071.938257   -100.046483    625.934734    802.765752    696.667115    426.752443    198.422629   93.174649   45.059322  21.656274  11.536118   6.017065   3.296244   1.989806   1.131888   0.726296  0.427186  0.206836  0.117964  0.277566 -0.000295  0.111230  0.045880
   3  2.0      2.0 20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.0 489900.6 6277177.2     2.2 20241126T233114.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.1 X -8.123949e-04    804.468091 0.000013 1.885557e-04    0.472008 23.0   2071.235271   3089.115838   2602.064480   1682.729382   1015.323553    448.399934    149.898329   58.315181   24.722374  10.470195   5.676377   2.935479   1.650058   0.927769   0.395409   0.036902 -0.289132  0.135329  0.371858  0.121341 -0.029926  0.100025 -0.002082
   3  2.0      2.0 20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.0 489900.6 6277177.2     2.2 20241126T233114.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.2 Y  2.070904e-04  -1106.556019 0.000010 8.208622e-05   -0.489338 23.0   -214.493808   -456.574032   -436.926323   -274.920359   -147.597611    -57.709845    -15.241162   -5.661611   -3.582639  -0.447272  -0.042821   0.302993   0.373255   0.280758  -0.120023  -0.044154 -0.203017  0.126257  0.158217  0.030150 -0.073526 -0.016397  0.010569
   3  2.0      2.0 20241126T233110.332045635Z 20241126T233113.000000000Z 1732663873.0 489900.6 6277177.2     2.2 20241126T233114.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.1        1.8 489899.8 6277172.2        2.5  1.3 Z -1.349214e-03 -15296.940491 0.000008 1.976849e-04   -2.992821 23.0  -1054.750050    -85.259306    631.806419    803.180218    695.098281    425.315724    197.711195   92.873888   45.145172  21.630234  11.663886   6.136862   3.525928   2.143420   1.105016   0.607370  0.128022  0.194125  0.362107  0.176522  0.039773  0.078936  0.032134
   4  2.0      3.0 20241126T233110.332045635Z 20241126T233114.000000000Z 1732663874.0 489900.6 6277177.2     2.2 20241126T233115.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.2        1.8 489899.8 6277172.3        2.5  1.1 X -9.240443e-04    394.253371 0.000011 1.891910e-04    0.632900 23.0   2048.408952   3042.841559   2557.213197   1650.566939    993.928622    437.205161    145.229388   55.842244   23.740071  10.676669   5.822961   3.166476   1.717020   0.785987   0.608608   0.050002 -0.300158  0.086872  0.345552  0.033589  0.007859  0.055919 -0.057159
   4  2.0      3.0 20241126T233110.332045635Z 20241126T233114.000000000Z 1732663874.0 489900.6 6277177.2     2.2 20241126T233115.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.2        1.8 489899.8 6277172.3        2.5  1.2 Y  2.286896e-04   -859.464100 0.000009 8.532827e-05   -0.273917 23.0   -251.275454   -507.114955   -477.088529   -302.980635   -167.725608    -67.867636    -19.502619   -7.766193   -4.359636  -0.321250  -0.139844   0.434901   0.406480   0.209249  -0.076272   0.034274 -0.186216  0.031344  0.177671 -0.062774 -0.079470 -0.008055 -0.000459
   4  2.0      3.0 20241126T233110.332045635Z 20241126T233114.000000000Z 1732663874.0 489900.6 6277177.2     2.2 20241126T233115.000000000Z  489901.3  6277182.7         2.6 489901.3 6277182.2        1.8 489899.8 6277172.3        2.5  1.3 Z -1.319078e-03 -14980.737307 0.000007 2.000682e-04   -2.819944 23.0  -1008.646680    -45.829880    650.239569    807.502720    693.721926    423.033898    196.618522   92.332262   44.812134  21.343474  11.567726   6.033206   3.476661   2.219830   1.209353   0.625357  0.148886  0.192472  0.363986  0.112369  0.031439  0.074894  0.012195
   5  2.0      4.0 20241126T233110.332045635Z 20241126T233115.000000000Z 1732663875.0 489900.6 6277177.4     2.2 20241126T233116.000000000Z  489901.2  6277182.8         2.6 489901.3 6277182.3        1.8 489899.8 6277172.4        2.5  1.1 X -6.201507e-04   -584.370833 0.000011 1.944230e-04    0.867397 23.0   2002.816906   2972.168726   2498.934234   1614.211243    972.512395    427.813377    142.759364   54.815799   23.219321   9.823960   5.094362   2.256935   1.178471   0.569398   0.887683   0.282785  0.151362  0.007230  0.322432  0.031065  0.000403 -0.047500 -0.049552
   5  2.0      4.0 20241126T233110.332045635Z 20241126T233115.000000000Z 1732663875.0 489900.6 6277177.4     2.2 20241126T233116.000000000Z  489901.2  6277182.8         2.6 489901.3 6277182.3        1.8 489899.8 6277172.4        2.5  1.2 Y  3.075569e-04   -245.779601 0.000008 8.120429e-05   -0.270447 23.0   -318.542123   -577.068681   -519.920207   -329.768788   -186.680403    -77.130855    -22.979257   -8.984872   -4.929439  -1.268370  -0.737192  -0.138535   0.067968   0.107269   0.117285   0.069144 -0.142930 -0.236000  0.189462 -0.051366 -0.045015 -0.024199 -0.004450
   5  2.0      4.0 20241126T233110.332045635Z 20241126T233115.000000000Z 1732663875.0 489900.6 6277177.4     2.2 20241126T233116.000000000Z  489901.2  6277182.8         2.6 489901.3 6277182.3        1.8 489899.8 6277172.4        2.5  1.3 Z -1.398421e-03 -14293.932087 0.000007 1.964020e-04   -2.631077 23.0   -960.894782     -5.993667    670.968359    815.494175    695.644338    422.478012    195.828633   91.537374   44.153181  21.178584  11.332278   5.746313   3.143968   2.048316   1.193795   0.814333  0.453236  0.173698  0.347512  0.149151  0.043750  0.023261  0.011270
   6  2.0      5.0 20241126T233110.332045635Z 20241126T233116.000000000Z 1732663876.0 489900.6 6277177.8     2.1 20241126T233117.000000000Z  489901.3  6277183.3         2.6 489901.2 6277182.8        1.8 489899.9 6277172.9        2.5  1.1 X -7.451994e-04  -1900.528764 0.000012 1.959108e-04    0.971792 23.0   1996.555796   2989.996869   2526.770528   1639.438139    991.455745    439.306908    147.052169   57.137278   24.162336  10.396588   5.369135   2.769231   1.788974   0.944829   0.642062   0.167062 -0.035896  0.046352  0.147893  0.003375  0.038272 -0.084031  0.000147
   6  2.0      5.0 20241126T233110.332045635Z 20241126T233116.000000000Z 1732663876.0 489900.6 6277177.8     2.1 20241126T233117.000000000Z  489901.3  6277183.3         2.6 489901.2 6277182.8        1.8 489899.9 6277172.9        2.5  1.2 Y  5.363225e-04    349.331386 0.000008 7.302860e-05    0.188774 23.0   -388.917024   -629.690132   -538.946917   -335.727161   -191.004118    -79.730801    -23.849227   -9.359116   -5.049160  -1.363426  -0.654268  -0.018688   0.219578   0.152363  -0.130798  -0.090980 -0.250544 -0.081956  0.083009  0.026464 -0.048557 -0.054377 -0.007328
