Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 11:48:31 AM (UTC+1030),6278112.144,494274.701,97.719,1.104
27/01/2026 11:48:32 AM (UTC+1030),6278112.144,494274.701,97.717,1.104
27/01/2026 11:48:33 AM (UTC+1030),6278112.139,494274.753,97.693,1.09
27/01/2026 11:48:34 AM (UTC+1030),6278112.14,494274.754,97.695,1.09
27/01/2026 11:48:35 AM (UTC+1030),6278112.137,494274.754,97.694,1.09
27/01/2026 11:48:36 AM (UTC+1030),6278112.154,494274.771,97.7,1.11
27/01/2026 11:48:37 AM (UTC+1030),6278112.156,494274.787,97.702,1.115
27/01/2026 11:48:38 AM (UTC+1030),6278112.153,494274.788,97.697,1.115
27/01/2026 11:48:39 AM (UTC+1030),6278112.166,494274.868,97.647,1.061
27/01/2026 11:48:40 AM (UTC+1030),6278112.164,494274.865,97.65,1.061
27/01/2026 11:48:41 AM (UTC+1030),6278112.161,494274.868,97.668,1.065
27/01/2026 11:48:42 AM (UTC+1030),6278112.161,494274.884,97.656,1.063
27/01/2026 11:48:43 AM (UTC+1030),6278112.162,494274.892,97.637,1.065
27/01/2026 11:48:44 AM (UTC+1030),6278112.165,494274.891,97.642,1.063
27/01/2026 11:48:45 AM (UTC+1030),6278112.168,494274.892,97.648,1.063
27/01/2026 11:48:46 AM (UTC+1030),6278112.169,494274.89,97.64,1.065
27/01/2026 11:48:47 AM (UTC+1030),6278112.166,494274.883,97.652,1.065
27/01/2026 11:48:48 AM (UTC+1030),6278112.168,494274.885,97.653,1.065
27/01/2026 11:48:49 AM (UTC+1030),6278112.167,494274.888,97.646,1.065
27/01/2026 11:48:50 AM (UTC+1030),6278112.167,494274.889,97.651,1.065
27/01/2026 11:48:51 AM (UTC+1030),6278112.141,494275.135,97.483,0.749
27/01/2026 11:48:52 AM (UTC+1030),6278112.14,494275.139,97.476,0.749
27/01/2026 11:48:53 AM (UTC+1030),6278112.177,494275.164,97.499,0.79
27/01/2026 11:48:54 AM (UTC+1030),6278112.176,494275.164,97.498,0.79
27/01/2026 11:48:55 AM (UTC+1030),6278112.177,494275.165,97.498,0.79
27/01/2026 11:48:56 AM (UTC+1030),6278112.136,494275.123,97.488,0.83
27/01/2026 11:48:57 AM (UTC+1030),6278112.139,494275.126,97.485,0.83
27/01/2026 11:48:58 AM (UTC+1030),6278112.14,494275.118,97.511,0.91
27/01/2026 11:48:59 AM (UTC+1030),6278112.137,494275.116,97.515,0.91
27/01/2026 11:49:00 AM (UTC+1030),6278112.154,494275.12,97.502,0.913
27/01/2026 11:49:01 AM (UTC+1030),6278112.151,494275.119,97.503,0.913
27/01/2026 11:49:02 AM (UTC+1030),6278112.155,494275.121,97.503,0.913
27/01/2026 11:49:03 AM (UTC+1030),6278112.113,494275.1,97.515,0.812
27/01/2026 11:49:04 AM (UTC+1030),6278112.153,494275.11,97.524,0.927
27/01/2026 11:49:05 AM (UTC+1030),6278112.153,494275.11,97.524,0.927
27/01/2026 11:49:06 AM (UTC+1030),6278112.181,494275.111,97.509,0.957
27/01/2026 11:49:07 AM (UTC+1030),6278112.227,494275.135,97.507,0.976
27/01/2026 11:49:08 AM (UTC+1030),6278112.227,494275.135,97.508,0.976
27/01/2026 11:49:09 AM (UTC+1030),6278112.22,494275.124,97.502,1.016
27/01/2026 11:49:10 AM (UTC+1030),6278112.221,494275.127,97.499,1.016
27/01/2026 11:49:11 AM (UTC+1030),6278112.218,494275.115,97.502,1.055
27/01/2026 11:49:12 AM (UTC+1030),6278112.213,494275.116,97.503,1.055
27/01/2026 11:49:13 AM (UTC+1030),6278112.216,494275.116,97.504,1.055
27/01/2026 11:49:14 AM (UTC+1030),6278112.22,494275.107,97.481,1.079
27/01/2026 11:49:15 AM (UTC+1030),6278112.218,494275.109,97.482,1.079
27/01/2026 11:49:16 AM (UTC+1030),6278112.217,494275.109,97.48,1.079
27/01/2026 11:49:17 AM (UTC+1030),6278112.218,494275.106,97.486,1.079
27/01/2026 11:49:18 AM (UTC+1030),6278112.221,494275.11,97.482,1.079
27/01/2026 11:49:19 AM (UTC+1030),6278112.22,494275.111,97.48,1.079
27/01/2026 11:49:20 AM (UTC+1030),6278112.22,494275.108,97.486,1.079
27/01/2026 11:49:21 AM (UTC+1030),6278112.217,494275.11,97.484,1.079
27/01/2026 11:49:22 AM (UTC+1030),6278112.215,494275.111,97.484,1.079
27/01/2026 11:49:23 AM (UTC+1030),6278112.215,494275.11,97.483,1.079
27/01/2026 11:49:24 AM (UTC+1030),6278112.215,494275.114,97.481,1.079
27/01/2026 11:49:25 AM (UTC+1030),6278112.217,494275.113,97.484,1.079
27/01/2026 11:49:26 AM (UTC+1030),6278112.216,494275.11,97.485,1.079
27/01/2026 11:49:27 AM (UTC+1030),6278112.215,494275.111,97.484,1.079
