EMIT DAT file ExportSoftware:dsQC-1.1.23.56511 Exported:20240214T031344Z
DATATYPE:TEM CONFIG:Loupe LINE:MULTI COMPANY:* PROSPECT:* TENEMENT:* GRID:UTM DATUM:WGS84 ZONE:54Sth LINEFLIP:0 SAMPLERATE:504000 STACKS:300 RX_SERIAL:10003 RX_SW_VER:1.0.60.57722 FREQ:75.0000 CURRENT:20 TURNOFF:0.0090000000000000011 TX_MOMENT:94.423708796294846 VLF_FILTER:NWC WINSCHEME:Loupe SENSORNAME:Loupe_TEM-3_Coil SENSORCLASS:Coil SENSORDELAY:4.5800000000000001 SENSOR_OFFSET_ALONG:-10.550000000000001 SENSOR_OFFSET_ACROSS:0 SENSOR_OFFSET_HEIGHT:-0.23999999999999999 SENSOR_CALIBRATION:Loupe12-20201209T000000.000000000Z UNITS:nV/Am4 GAIN:10 POWERFREQ:50Hz 
/WINSCHEME:Loupe
/TIMESSTART(ms)=0.00198,0.00397,0.00595,0.00794,0.00992,0.01190,0.01786,0.02381,0.03175,0.04365,0.05754,0.07738,0.10317,0.13690,0.18254,0.24405,0.32341,0.43056,0.57341,0.76389,1.01587,1.35119,1.79960,2.39286,3.18254,4.23214,5.63095,7.48810,9.96032,13.24603,17.61905,23.43254,31.16667,41.45238,55.13095,73.32540,97.52183,129.70437,172.50794,229.43452,305.14881
/TIMESEND(ms)=0.00595,0.00794,0.00992,0.01190,0.01389,0.01984,0.02579,0.03571,0.04762,0.06349,0.08135,0.10913,0.14683,0.19246,0.25794,0.34325,0.45833,0.61310,0.81349,1.08333,1.44048,1.91667,2.54762,3.38889,4.50794,5.99603,7.97619,10.60913,14.11111,18.76587,24.96032,33.19643,44.15278,58.72421,78.10317,103.87698,138.15675,183.74802,244.38690,325.03373,432.29563
/VLF_FILTER=NWC,19800.00,200.00,[ 21.816325S 114.165460E 8000.0km]
FID ACQ ACQ_RDG ACQ_TIME                   TIME                       TS                   EAST     NORTH     HEIGHT GPS_TIME                   GPS_EAST GPS_NORTH GPS_HEIGHT TX_EAST  TX_NORTH  TX_HEIGHT RX_EAST  RX_NORTH  RX_HEIGHT ADC C DC_OFFSET               PRIMARY              NOISE                  POWERAMPL              POWERPHASE             NCH CH01                CH02                 CH03                 CH04                 CH05                 CH06                 CH07                  CH08                 CH09                  CH10                  CH11                   CH12                  CH13                    CH14                   CH15                    CH16                    CH17                    CH18                   CH19                    CH20                    CH21                    CH22                    CH23                    
LINE:330118E
1   1   0       20240213T035834.524575397Z 20240213T035835.000000000Z 1707796715.000000000 330116.8 6052726.9 21.2   20240213T035836.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.6      330118.3 6052732.1 21.7      1.1 X 0.00098972626746903088  3014.4484882423235   2.432694267081475e-05  1.7591416718401111e-06 -1.6173145229560737    23  1123.49134148907    1092.0158506832745   757.44605670062833   484.99092544113341   346.57028664160856   224.69051188902222   139.21066990469839    89.923937794919496   60.878146442137549    39.649129645303326    25.68857645320178      15.411649545087428    8.4730373283798066      4.830307412271611      2.4407651958744441      1.5530619903696699      0.7292156414209624      0.24977686184509401    0.15373301133404571     0.063189576189446039    0.0085904058323310276   0.034520495902467814    0.026520830891032042    
1   1   0       20240213T035834.524575397Z 20240213T035835.000000000Z 1707796715.000000000 330116.8 6052726.9 21.2   20240213T035836.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.6      330118.3 6052732.1 21.7      1.2 Y 6.3553078744380949e-05  -1803.5464716544977  3.5413430973948052e-05 2.7835293595272085e-06 1.5833524609995657     23  -834.30124972855197 -844.43812611470287  -587.91892281300409  -376.67370572831368  -263.7693276689352   -165.77908987114299  -102.15392074215164   -68.144477251546775  -45.308133745410082   -28.52985303981292    -18.970384809181112    -11.209828671755092   -6.4623327474664229     -3.8380216540924077    -1.6924423657736445     -1.0223820700307025     -0.48914788740797382    -0.19574459182050952   -0.11321969710488872    -0.10901245357781061    -0.033837279957205889   0.001193609436795372    -0.041985015822786395   
1   1   0       20240213T035834.524575397Z 20240213T035835.000000000Z 1707796715.000000000 330116.8 6052726.9 21.2   20240213T035836.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.6      330118.3 6052732.1 21.7      1.3 Z 0.0014009973931657465   -13074.413399776498  7.9020602442401333e-06 8.1480368683182957e-08 2.5382687301267692     23  307.07249422157832  435.66611628558775   425.10413031570715   343.39651634438536   277.77719019554803   204.59651964768051   144.68128584394938    105.94993516918247   78.564943533917884    55.883058913294811    40.178208660912759     26.547912941889532    16.899270316357029      10.617361369603506     6.2952158796570004      3.612310358348747       2.0702779218696015      1.1293786969470603     0.62178329526067067     0.32999470091142269     0.18546819136098766     0.094813025042939703    0.04381065715360033     
2   1   1       20240213T035834.524575397Z 20240213T035836.000000000Z 1707796716.000000000 330116.7 6052726.9 21.2   20240213T035837.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.1 X 0.00031264741072026871  3319.1553217868836   2.6579271843735952e-05 2.4883073114657486e-06 -1.6448714177277732    23  1199.3254997905531  1161.0176283193834   807.40226678839224   520.0661582152245    372.58491657776068   241.19226877817835   150.22984769278588    98.149818437403397   65.313265839018442    42.278236242044855    27.216190810408118     16.478669132672007    9.1797990979920314      5.2828573739066043     2.8063398814685918      1.5761518483079062      0.8358712293268955      0.37986870650871379    0.25143760991814595     0.058898312698680087    0.016978899957566469    0.016434105971678058    0.012712355647216447    
2   1   1       20240213T035834.524575397Z 20240213T035836.000000000Z 1707796716.000000000 330116.7 6052726.9 21.2   20240213T035837.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.2 Y 0.000621773737293722    -1700.8259472891089  2.3524188133207361e-05 1.5617020495960174e-06 1.7462170709948501     23  -662.01722901653113 -679.05413686406007  -473.13617708206635  -301.88381889061469  -211.52715083889666  -133.28207171125737  -81.533242800051738   -54.487110863137538  -36.587531452020883   -22.42412251370175    -14.969709709330623    -8.7149391943157504   -4.9195132140495188     -2.9467955568938184    -1.4708246703896983     -0.85997348329529744    -0.53545888616061788    -0.26844805151068146   -0.080324683848942841   -0.046460938822346372   -0.033984199613913531   -0.00043195116342956467 -0.017956472383604639   
2   1   1       20240213T035834.524575397Z 20240213T035836.000000000Z 1707796716.000000000 330116.7 6052726.9 21.2   20240213T035837.000000000Z 330115.3 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.3 Z 0.0013354961618422618   -12947.025239654484  7.6701104019302425e-06 2.8231948006473557e-07 -2.1679603296666605    23  301.82182450638214  431.73609436601674   421.61819369356454   340.69572311167065   275.93188290555935   203.25524484017649   143.61015587195109    105.50182705055097   78.127152125895947    55.758903428797304    40.082326080373512     26.424727855057569    16.860169079993884      10.579879361881625     6.3006525902237938      3.6129145470034834      2.0525157442490585      1.1248716280862801     0.6169060756989605      0.34047684210102369     0.18223231745714841     0.081039353030743277    0.03892369539427093     
3   1   2       20240213T035834.524575397Z 20240213T035837.000000000Z 1707796717.000000000 330116.7 6052726.9 21.2   20240213T035838.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.1 X 0.00087653874474755979  3616.4963666772392   2.5036710362406222e-05 4.7728189304335912e-06 1.5670373707326284     23  1253.752974277606   1207.7916959920258   841.94293457149229   545.40045812985454   392.02138185921251   255.61154331211586   157.80706224898327    104.94269853554438   70.133189753962782    44.966405801259796    28.691131523758163     17.921926406024699    9.4866150181758524      5.7904204022690919     2.9597384760009011      1.844006692673372       0.79955922412504421     0.50026219468784394    0.29301155001076146     0.1538707466229248      0.023498092597492335    -0.011989528794292981   0.033936528292634223    
3   1   2       20240213T035834.524575397Z 20240213T035837.000000000Z 1707796717.000000000 330116.7 6052726.9 21.2   20240213T035838.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.2 Y -0.00019799323785492284 -1555.5277590577787  2.3466208693100312e-05 7.3230319194520677e-06 -1.5906214049312264    23  -477.00439201068212 -500.46243909649081  -351.89983973539034  -224.45641378270759  -156.5420187774825   -99.002585573614169  -58.668049879681575   -40.910488774054038  -27.677482759171422   -15.346628789510994   -10.706642257167395    -7.0459190596811485   -2.6624462641665398     -2.3312518472347779    -1.0454749464816704     -0.8395804506135528     -0.17409924723296219    -0.10626719347390333   -0.061026438783924962   -0.082803978091542926   0.0047428508103404352   -0.014399542152449958   -0.028134258050251448   
3   1   2       20240213T035834.524575397Z 20240213T035837.000000000Z 1707796717.000000000 330116.7 6052726.9 21.2   20240213T035838.000000000Z 330115.4 6052722.0 21.9       330115.3 6052721.8 20.7      330118.2 6052732.0 21.7      1.3 Z 0.0012985137864521396   -12677.062843964564  7.5781305659101625e-06 5.6870250258760763e-08 2.0351665971439474     23  303.30261696758555  426.15237517992404   408.06512009181819   326.59068611368639   263.70230212579486   194.51834040937439   137.97941851598918    101.70176761139479   75.391850771623879    53.899606659651447    38.951839911478089     25.757865081547074    16.458803535085575      10.361346884835795     6.1853476880400677      3.510493888229508       2.0117610777378681      1.1380756747747107     0.63191245960848097     0.33184519127316991     0.15333719617459313     0.078419148160818367    0.035689875869097117    
