,cata_x,cata_y,cata_z,cata_data_source,cata_xx,cata_yy,loupe_x,loupe_y,loupe_z,loupe_C,offset_xy
2024-11-26 23:31:11+00:00,,,,,,,489900.6,6277177.1,2.2,X,
2024-11-26 23:31:12+00:00,,,,,,,489900.6,6277177.2,2.2,X,
2024-11-26 23:31:13+00:00,,,,,,,489900.6,6277177.2,2.2,X,
2024-11-26 23:31:14+00:00,,,,,,,489900.6,6277177.2,2.2,X,
2024-11-26 23:31:15+00:00,,,,,,,489900.6,6277177.4,2.2,X,
2024-11-26 23:31:16+00:00,,,,,,,489900.6,6277177.8,2.1,X,
2024-11-26 23:31:17+00:00,,,,,,,489900.6,6277178.5,2.1,X,
2024-11-26 23:31:18+00:00,,,,,,,489900.8,6277179.5,2.1,X,
2024-11-26 23:31:19+00:00,,,,,,,489900.9,6277180.6,2.1,X,
2024-11-26 23:31:20+00:00,,,,,,,489901.1,6277181.7,2.1,X,
2024-11-26 23:31:21+00:00,,,,,,,489901.3,6277182.8,2.1,X,
2024-11-26 23:31:22+00:00,,,,,,,489901.4,6277184.1,2.1,X,
2024-11-26 23:31:23+00:00,,,,,,,489901.6,6277185.2,2.1,X,
2024-11-26 23:31:24+00:00,,,,,,,489901.7,6277186.3,2.1,X,
2024-11-26 23:31:25+00:00,,,,,,,489902.0,6277187.5,2.0,X,
2024-11-26 23:31:26+00:00,,,,,,,489902.1,6277188.6,2.0,X,
2024-11-26 23:31:27+00:00,,,,,,,489902.2,6277189.8,2.0,X,
2024-11-26 23:31:28+00:00,,,,,,,489902.3,6277191.2,2.0,X,
2024-11-26 23:31:29+00:00,,,,,,,489902.4,6277192.5,2.0,X,
2024-11-26 23:31:30+00:00,,,,,,,489902.5,6277193.7,2.0,X,
2024-11-26 23:31:31+00:00,,,,,,,489902.6,6277195.0,2.1,X,
2024-11-26 23:31:32+00:00,,,,,,,489902.8,6277196.3,2.1,X,
2024-11-26 23:31:33+00:00,,,,,,,489903.0,6277197.5,2.1,X,
2024-11-26 23:31:34+00:00,,,,,,,489903.2,6277198.9,2.2,X,
2024-11-26 23:31:35+00:00,,,,,,,489903.3,6277200.2,2.2,X,
2024-11-26 23:31:36+00:00,,,,,,,489903.4,6277201.5,2.2,X,
2024-11-26 23:31:37+00:00,,,,,,,489903.5,6277202.8,2.2,X,
2024-11-26 23:31:38+00:00,,,,,,,489903.7,6277204.1,2.2,X,
2024-11-26 23:31:39+00:00,,,,,,,489903.8,6277205.4,2.3,X,
2024-11-26 23:31:40+00:00,,,,,,,489903.9,6277206.7,2.4,X,
2024-11-26 23:31:41+00:00,,,,,,,489904.1,6277207.9,2.4,X,
2024-11-26 23:31:42+00:00,,,,,,,489904.4,6277209.2,2.4,X,
2024-11-26 23:31:43+00:00,,,,,,,489904.5,6277210.5,2.4,X,
2024-11-26 23:31:44+00:00,,,,,,,489904.7,6277211.7,2.4,X,
2024-11-26 23:31:45+00:00,,,,,,,489904.8,6277213.1,2.4,X,
2024-11-26 23:31:46+00:00,,,,,,,489904.9,6277214.4,2.4,X,
2024-11-26 23:31:47+00:00,,,,,,,489904.9,6277215.7,2.4,X,
2024-11-26 23:31:48+00:00,,,,,,,489904.9,6277217.1,2.5,X,
