,time,x,y,z,C,source
1,2024-11-26 23:31:11+00:00,489900.6,6277177.1,2.2,X,Loupe
2,2024-11-26 23:31:11+00:00,489900.6,6277177.1,2.2,Y,Loupe
3,2024-11-26 23:31:11+00:00,489900.6,6277177.1,2.2,Z,Loupe
4,2024-11-26 23:31:12+00:00,489900.6,6277177.2,2.2,X,Loupe
5,2024-11-26 23:31:12+00:00,489900.6,6277177.2,2.2,Y,Loupe
6,2024-11-26 23:31:12+00:00,489900.6,6277177.2,2.2,Z,Loupe
7,2024-11-26 23:31:13+00:00,489900.6,6277177.2,2.2,X,Loupe
8,2024-11-26 23:31:13+00:00,489900.6,6277177.2,2.2,Y,Loupe
9,2024-11-26 23:31:13+00:00,489900.6,6277177.2,2.2,Z,Loupe
10,2024-11-26 23:31:14+00:00,489900.6,6277177.2,2.2,X,Loupe
11,2024-11-26 23:31:14+00:00,489900.6,6277177.2,2.2,Y,Loupe
12,2024-11-26 23:31:14+00:00,489900.6,6277177.2,2.2,Z,Loupe
13,2024-11-26 23:31:15+00:00,489900.6,6277177.4,2.2,X,Loupe
14,2024-11-26 23:31:15+00:00,489900.6,6277177.4,2.2,Y,Loupe
15,2024-11-26 23:31:15+00:00,489900.6,6277177.4,2.2,Z,Loupe
16,2024-11-26 23:31:16+00:00,489900.6,6277177.8,2.1,X,Loupe
17,2024-11-26 23:31:16+00:00,489900.6,6277177.8,2.1,Y,Loupe
18,2024-11-26 23:31:16+00:00,489900.6,6277177.8,2.1,Z,Loupe
19,2024-11-26 23:31:17+00:00,489900.6,6277178.5,2.1,X,Loupe
20,2024-11-26 23:31:17+00:00,489900.6,6277178.5,2.1,Y,Loupe
21,2024-11-26 23:31:17+00:00,489900.6,6277178.5,2.1,Z,Loupe
22,2024-11-26 23:31:18+00:00,489900.8,6277179.5,2.1,X,Loupe
23,2024-11-26 23:31:18+00:00,489900.8,6277179.5,2.1,Y,Loupe
24,2024-11-26 23:31:18+00:00,489900.8,6277179.5,2.1,Z,Loupe
25,2024-11-26 23:31:19+00:00,489900.9,6277180.6,2.1,X,Loupe
26,2024-11-26 23:31:19+00:00,489900.9,6277180.6,2.1,Y,Loupe
27,2024-11-26 23:31:19+00:00,489900.9,6277180.6,2.1,Z,Loupe
28,2024-11-26 23:31:20+00:00,489901.1,6277181.7,2.1,X,Loupe
29,2024-11-26 23:31:20+00:00,489901.1,6277181.7,2.1,Y,Loupe
30,2024-11-26 23:31:20+00:00,489901.1,6277181.7,2.1,Z,Loupe
31,2024-11-26 23:31:21+00:00,489901.3,6277182.8,2.1,X,Loupe
32,2024-11-26 23:31:21+00:00,489901.3,6277182.8,2.1,Y,Loupe
33,2024-11-26 23:31:21+00:00,489901.3,6277182.8,2.1,Z,Loupe
34,2024-11-26 23:31:22+00:00,489901.4,6277184.1,2.1,X,Loupe
35,2024-11-26 23:31:22+00:00,489901.4,6277184.1,2.1,Y,Loupe
36,2024-11-26 23:31:22+00:00,489901.4,6277184.1,2.1,Z,Loupe
37,2024-11-26 23:31:23+00:00,489901.6,6277185.2,2.1,X,Loupe
38,2024-11-26 23:31:23+00:00,489901.6,6277185.2,2.1,Y,Loupe
39,2024-11-26 23:31:23+00:00,489901.6,6277185.2,2.1,Z,Loupe
40,2024-11-26 23:31:24+00:00,489901.7,6277186.3,2.1,X,Loupe
41,2024-11-26 23:31:24+00:00,489901.7,6277186.3,2.1,Y,Loupe
42,2024-11-26 23:31:24+00:00,489901.7,6277186.3,2.1,Z,Loupe
43,2024-11-26 23:31:25+00:00,489902.0,6277187.5,2.0,X,Loupe
44,2024-11-26 23:31:25+00:00,489902.0,6277187.5,2.0,Y,Loupe
45,2024-11-26 23:31:25+00:00,489902.0,6277187.5,2.0,Z,Loupe
46,2024-11-26 23:31:26+00:00,489902.1,6277188.6,2.0,X,Loupe
47,2024-11-26 23:31:26+00:00,489902.1,6277188.6,2.0,Y,Loupe
48,2024-11-26 23:31:26+00:00,489902.1,6277188.6,2.0,Z,Loupe
49,2024-11-26 23:31:27+00:00,489902.2,6277189.8,2.0,X,Loupe
50,2024-11-26 23:31:27+00:00,489902.2,6277189.8,2.0,Y,Loupe
51,2024-11-26 23:31:27+00:00,489902.2,6277189.8,2.0,Z,Loupe
52,2024-11-26 23:31:28+00:00,489902.3,6277191.2,2.0,X,Loupe
53,2024-11-26 23:31:28+00:00,489902.3,6277191.2,2.0,Y,Loupe
54,2024-11-26 23:31:28+00:00,489902.3,6277191.2,2.0,Z,Loupe
55,2024-11-26 23:31:29+00:00,489902.4,6277192.5,2.0,X,Loupe
56,2024-11-26 23:31:29+00:00,489902.4,6277192.5,2.0,Y,Loupe
57,2024-11-26 23:31:29+00:00,489902.4,6277192.5,2.0,Z,Loupe
58,2024-11-26 23:31:30+00:00,489902.5,6277193.7,2.0,X,Loupe
59,2024-11-26 23:31:30+00:00,489902.5,6277193.7,2.0,Y,Loupe
60,2024-11-26 23:31:30+00:00,489902.5,6277193.7,2.0,Z,Loupe
61,2024-11-26 23:31:31+00:00,489902.6,6277195.0,2.1,X,Loupe
62,2024-11-26 23:31:31+00:00,489902.6,6277195.0,2.1,Y,Loupe
63,2024-11-26 23:31:31+00:00,489902.6,6277195.0,2.1,Z,Loupe
64,2024-11-26 23:31:32+00:00,489902.8,6277196.3,2.1,X,Loupe
65,2024-11-26 23:31:32+00:00,489902.8,6277196.3,2.1,Y,Loupe
66,2024-11-26 23:31:32+00:00,489902.8,6277196.3,2.1,Z,Loupe
67,2024-11-26 23:31:33+00:00,489903.0,6277197.5,2.1,X,Loupe
68,2024-11-26 23:31:33+00:00,489903.0,6277197.5,2.1,Y,Loupe
69,2024-11-26 23:31:33+00:00,489903.0,6277197.5,2.1,Z,Loupe
70,2024-11-26 23:31:34+00:00,489903.2,6277198.9,2.2,X,Loupe
71,2024-11-26 23:31:34+00:00,489903.2,6277198.9,2.2,Y,Loupe
72,2024-11-26 23:31:34+00:00,489903.2,6277198.9,2.2,Z,Loupe
73,2024-11-26 23:31:35+00:00,489903.3,6277200.2,2.2,X,Loupe
74,2024-11-26 23:31:35+00:00,489903.3,6277200.2,2.2,Y,Loupe
75,2024-11-26 23:31:35+00:00,489903.3,6277200.2,2.2,Z,Loupe
76,2024-11-26 23:31:36+00:00,489903.4,6277201.5,2.2,X,Loupe
77,2024-11-26 23:31:36+00:00,489903.4,6277201.5,2.2,Y,Loupe
